Point,Lat,Lon,Weight
139171,21.553284,-158.250915,0.0001
139172,21.570457,-158.250504,0.001
139678,21.501381,-158.233658,0.0008
139679,21.518555,-158.233261,0.0004
139680,21.535721,-158.232849,0.0007
139681,21.55291,-158.232437,0.0006
139682,21.570091,-158.23204,0.0011
140186,21.466667,-158.216034,0.002
140187,21.483841,-158.215622,0.0005
140188,21.500999,-158.21521,0.0002
140189,21.518181,-158.214798,0.0005
140190,21.535347,-158.214386,0.0013
140191,21.552528,-158.213974,0.0005
140192,21.569702,-158.213562,0.0004
140193,21.586891,-158.21315,0.0005
140696,21.449112,-158.197998,0.0013
140697,21.466293,-158.197586,0.0024
140698,21.483452,-158.197174,0.0021
140699,21.500618,-158.196747,0.0001
140700,21.517792,-158.196335,0.0002
140701,21.534958,-158.195923,0.0002
140702,21.552147,-158.195511,0.0002
140703,21.569321,-158.195084,0.0013
140704,21.586502,-158.194672,0.0008
141205,21.414406,-158.180389,0.0015
141206,21.431557,-158.179977,0.0021
141207,21.44873,-158.17955,0.0037
141208,21.465889,-158.179138,0.0013
141210,21.500237,-158.178299,0.0002
141213,21.551758,-158.177032,0.0001
141214,21.568916,-158.176621,0.002
141716,21.396843,-158.162384,0.0011
141717,21.414009,-158.161957,0.0043
141718,21.431168,-158.161545,0.0047
141719,21.448341,-158.161118,0.004
141720,21.4655,-158.16069,0.0029
141721,21.482674,-158.160263,0.0001
141724,21.534187,-158.158997,0.0001
141725,21.551361,-158.158569,0.0008
141726,21.568535,-158.158142,0.0037
141727,21.585716,-158.157715,0.0004
142228,21.379295,-158.144379,0.0018
142229,21.396446,-158.143951,0.0024
142230,21.413605,-158.143524,0.0037
142231,21.430763,-158.143097,0.0048
142232,21.447952,-158.14267,0.0047
142233,21.465111,-158.142242,0.0023
142237,21.533791,-158.140533,0.0001
142238,21.550964,-158.140106,0.0019
142239,21.568138,-158.139679,0.0039
142240,21.58532,-158.139237,0.0005
142738,21.327438,-158.127243,0.0007
142739,21.344589,-158.126816,0.0024
142740,21.361748,-158.126388,0.0009
142741,21.378899,-158.125961,0.0004
142742,21.396065,-158.125519,0.0007
142743,21.413208,-158.125092,0.0003
142744,21.430374,-158.124664,0.0037
142745,21.44754,-158.124237,0.0041
142746,21.464706,-158.123795,0.0012
142750,21.533386,-158.12207,0.0002
142751,21.550568,-158.121628,0.0023
142752,21.567734,-158.121201,0.0029
142753,21.584915,-158.120773,0.0005
143250,21.292732,-158.109711,0.0007
143251,21.309875,-158.109268,0.004
143252,21.327026,-158.108841,0.0036
143253,21.344185,-158.108398,0.0036
143254,21.361336,-158.107971,0.0009
143255,21.378494,-158.107529,0.0004
143256,21.395653,-158.107101,0.0003
143257,21.412811,-158.106659,0.0001
143258,21.42997,-158.106232,0.0001
143261,21.481468,-158.104919,0.002
143262,21.498634,-158.104477,0.0041
143263,21.5158,-158.104034,0.0008
143264,21.532982,-158.103607,0.0003
143265,21.550148,-158.103165,0.0031
143266,21.567345,-158.102722,0.0045
143267,21.584503,-158.102295,0.0033
143268,21.6017,-158.101852,0.0018
143764,21.29232,-158.091309,0.001
143765,21.309471,-158.090866,0.0047
143766,21.326614,-158.090424,0.0046
143767,21.343765,-158.089981,0.0035
143768,21.360931,-158.089554,0.003
143769,21.378082,-158.089111,0.0007
143770,21.395241,-158.088669,0.0003
143774,21.463898,-158.086914,0.0004
143775,21.481064,-158.086472,0.0045
143776,21.49823,-158.086029,0.0048
143777,21.515404,-158.085587,0.0026
143778,21.53257,-158.085144,0.002
143779,21.549744,-158.084701,0.0039
143780,21.566925,-158.084259,0.0046
143781,21.584099,-158.083817,0.0042
143782,21.601288,-158.083374,0.0047
143783,21.618462,-158.082932,0.0027
