Demand data,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,demand (MW)
2006,1,1,1,0.617378049
2006,1,1,2,0.579268293
2006,1,1,3,0.535060976
2006,1,1,4,0.512957317
2006,1,1,5,0.509908537
2006,1,1,6,0.527439024
2006,1,1,7,0.550304878
2006,1,1,8,0.584603659
2006,1,1,9,0.642530488
2006,1,1,10,0.692835366
2006,1,1,11,0.727896341
2006,1,1,12,0.739329268
2006,1,1,13,0.732469512
2006,1,1,14,0.725609756
2006,1,1,15,0.72027439
2006,1,1,16,0.722560976
2006,1,1,17,0.730945122
2006,1,1,18,0.757621951
2006,1,1,19,0.78125
2006,1,1,20,0.759146341
2006,1,1,21,0.728658537
2006,1,1,22,0.692073171
2006,1,1,23,0.637957317
2006,1,1,24,0.577743902
2006,1,2,1,0.533536585
2006,1,2,2,0.503810976
2006,1,2,3,0.488567073
2006,1,2,4,0.487804878
2006,1,2,5,0.506097561
2006,1,2,6,0.547256098
2006,1,2,7,0.585365854
2006,1,2,8,0.630335366
2006,1,2,9,0.711128049
2006,1,2,10,0.769054878
2006,1,2,11,0.795731707
2006,1,2,12,0.798018293
2006,1,2,13,0.792682927
2006,1,2,14,0.785060976
2006,1,2,15,0.782012195
2006,1,2,16,0.794969512
2006,1,2,17,0.808689024
2006,1,2,18,0.844512195
2006,1,2,19,0.880335366
2006,1,2,20,0.844512195
2006,1,2,21,0.797256098
2006,1,2,22,0.736280488
2006,1,2,23,0.655487805
2006,1,2,24,0.577743902
2006,1,3,1,0.530487805
2006,1,3,2,0.506097561
2006,1,3,3,0.493902439
2006,1,3,4,0.496189024
2006,1,3,5,0.535060976
2006,1,3,6,0.620426829
2006,1,3,7,0.689786585
2006,1,3,8,0.732469512
2006,1,3,9,0.789634146
2006,1,3,10,0.830792683
2006,1,3,11,0.849847561
2006,1,3,12,0.863567073
2006,1,3,13,0.868140244
2006,1,3,14,0.868902439
2006,1,3,15,0.863567073
2006,1,3,16,0.864329268
2006,1,3,17,0.854420732
2006,1,3,18,0.869664634
2006,1,3,19,0.890243902
2006,1,3,20,0.846036585
2006,1,3,21,0.798018293
2006,1,3,22,0.730182927
2006,1,3,23,0.642530488
2006,1,3,24,0.564786585
2006,1,4,1,0.516768293
2006,1,4,2,0.489329268
2006,1,4,3,0.474085366
2006,1,4,4,0.477896341
2006,1,4,5,0.514481707
2006,1,4,6,0.599085366
2006,1,4,7,0.674542683
2006,1,4,8,0.710365854
2006,1,4,9,0.753810976
2006,1,4,10,0.788109756
2006,1,4,11,0.803353659
2006,1,4,12,0.811737805
2006,1,4,13,0.804878049
2006,1,4,14,0.794207317
2006,1,4,15,0.78429878
2006,1,4,16,0.778963415
2006,1,4,17,0.772865854
2006,1,4,18,0.8125
2006,1,4,19,0.837652439
2006,1,4,20,0.807926829
2006,1,4,21,0.75304878
2006,1,4,22,0.688262195
2006,1,4,23,0.608231707
2006,1,4,24,0.53277439
2006,1,5,1,0.490853659
2006,1,5,2,0.46875
2006,1,5,3,0.456554878
2006,1,5,4,0.463414634
2006,1,5,5,0.506859756
2006,1,5,6,0.591463415
2006,1,5,7,0.673780488
2006,1,5,8,0.700457317
2006,1,5,9,0.742378049
2006,1,5,10,0.772865854
2006,1,5,11,0.787347561
2006,1,5,12,0.788109756
2006,1,5,13,0.787347561
2006,1,5,14,0.78277439
2006,1,5,15,0.77820122
2006,1,5,16,0.77820122
2006,1,5,17,0.772865854
2006,1,5,18,0.798780488
2006,1,5,19,0.84070122
2006,1,5,20,0.802591463
2006,1,5,21,0.745426829
2006,1,5,22,0.692835366
2006,1,5,23,0.615091463
2006,1,5,24,0.538109756
2006,1,6,1,0.49695122
2006,1,6,2,0.474085366
2006,1,6,3,0.461890244
2006,1,6,4,0.46875
2006,1,6,5,0.512957317
2006,1,6,6,0.603658537
2006,1,6,7,0.69054878
2006,1,6,8,0.721036585
2006,1,6,9,0.769054878
2006,1,6,10,0.801067073
2006,1,6,11,0.8125
2006,1,6,12,0.814786585
2006,1,6,13,0.817073171
2006,1,6,14,0.813262195
2006,1,6,15,0.807164634
2006,1,6,16,0.806402439
2006,1,6,17,0.794207317
2006,1,6,18,0.808689024
2006,1,6,19,0.84070122
2006,1,6,20,0.791158537
2006,1,6,21,0.754573171
2006,1,6,22,0.702743902
2006,1,6,23,0.641006098
2006,1,6,24,0.572408537
2006,1,7,1,0.525914634
2006,1,7,2,0.496189024
2006,1,7,3,0.477896341
2006,1,7,4,0.474847561
2006,1,7,5,0.490853659
2006,1,7,6,0.532012195
2006,1,7,7,0.582317073
2006,1,7,8,0.634908537
2006,1,7,9,0.700457317
2006,1,7,10,0.740853659
2006,1,7,11,0.760670732
2006,1,7,12,0.759908537
2006,1,7,13,0.753810976
2006,1,7,14,0.740091463
2006,1,7,15,0.736280488
2006,1,7,16,0.735518293
2006,1,7,17,0.740853659
2006,1,7,18,0.772103659
2006,1,7,19,0.807164634
2006,1,7,20,0.766768293
2006,1,7,21,0.733231707
2006,1,7,22,0.6875
2006,1,7,23,0.629573171
2006,1,7,24,0.56554878
2006,1,8,1,0.519054878
2006,1,8,2,0.487804878
2006,1,8,3,0.469512195
2006,1,8,4,0.46722561
2006,1,8,5,0.477896341
2006,1,8,6,0.509146341
2006,1,8,7,0.547256098
2006,1,8,8,0.59679878
2006,1,8,9,0.660823171
2006,1,8,10,0.703506098
2006,1,8,11,0.722560976
2006,1,8,12,0.727896341
2006,1,8,13,0.723323171
2006,1,8,14,0.71722561
2006,1,8,15,0.71722561
2006,1,8,16,0.724847561
2006,1,8,17,0.738567073
2006,1,8,18,0.77820122
2006,1,8,19,0.830030488
2006,1,8,20,0.791920732
2006,1,8,21,0.75152439
2006,1,8,22,0.700457317
2006,1,8,23,0.622713415
2006,1,8,24,0.551067073
2006,1,9,1,0.505335366
2006,1,9,2,0.480182927
2006,1,9,3,0.469512195
2006,1,9,4,0.479420732
2006,1,9,5,0.528963415
2006,1,9,6,0.620426829
2006,1,9,7,0.705030488
2006,1,9,8,0.737804878
2006,1,9,9,0.785060976
2006,1,9,10,0.816310976
2006,1,9,11,0.830792683
2006,1,9,12,0.837652439
2006,1,9,13,0.830792683
2006,1,9,14,0.824695122
2006,1,9,15,0.81402439
2006,1,9,16,0.817835366
2006,1,9,17,0.817073171
2006,1,9,18,0.830792683
2006,1,9,19,0.875762195
2006,1,9,20,0.84679878
2006,1,9,21,0.790396341
2006,1,9,22,0.71722561
2006,1,9,23,0.627286585
2006,1,9,24,0.551067073
2006,1,10,1,0.506097561
2006,1,10,2,0.481707317
2006,1,10,3,0.47179878
2006,1,10,4,0.481707317
2006,1,10,5,0.549542683
2006,1,10,6,0.651676829
2006,1,10,7,0.747713415
2006,1,10,8,0.741615854
2006,1,10,9,0.790396341
2006,1,10,10,0.810213415
2006,1,10,11,0.823932927
2006,1,10,12,0.831554878
2006,1,10,13,0.835365854
2006,1,10,14,0.826981707
2006,1,10,15,0.830030488
2006,1,10,16,0.830792683
2006,1,10,17,0.822408537
2006,1,10,18,0.825457317
2006,1,10,19,0.867378049
2006,1,10,20,0.832317073
2006,1,10,21,0.791920732
2006,1,10,22,0.727134146
2006,1,10,23,0.639481707
2006,1,10,24,0.5625
2006,1,11,1,0.517530488
2006,1,11,2,0.493140244
2006,1,11,3,0.485518293
2006,1,11,4,0.491615854
2006,1,11,5,0.536585366
2006,1,11,6,0.640243902
2006,1,11,7,0.733993902
2006,1,11,8,0.735518293
2006,1,11,9,0.766006098
2006,1,11,10,0.795731707
2006,1,11,11,0.804115854
2006,1,11,12,0.8125
2006,1,11,13,0.814786585
2006,1,11,14,0.811737805
2006,1,11,15,0.804115854
2006,1,11,16,0.803353659
2006,1,11,17,0.798018293
2006,1,11,18,0.813262195
2006,1,11,19,0.859756098
2006,1,11,20,0.830792683
2006,1,11,21,0.783536585
2006,1,11,22,0.72179878
2006,1,11,23,0.635670732
2006,1,11,24,0.554878049
2006,1,12,1,0.515243902
2006,1,12,2,0.505335366
2006,1,12,3,0.49695122
2006,1,12,4,0.520579268
2006,1,12,5,0.548780488
2006,1,12,6,0.640243902
2006,1,12,7,0.740091463
2006,1,12,8,0.747713415
2006,1,12,9,0.785823171
2006,1,12,10,0
2006,1,12,11,0.820884146
2006,1,12,12,0.820884146
2006,1,12,13,0.826219512
2006,1,12,14,0.821646341
2006,1,12,15,0.823932927
2006,1,12,16,0.818597561
2006,1,12,17,0.813262195
2006,1,12,18,0.824695122
2006,1,12,19,0.87804878
2006,1,12,20,0.839176829
2006,1,12,21,0.794207317
2006,1,12,22,0.71875
2006,1,12,23,0.634146341
2006,1,12,24,0.55945122
2006,1,13,1,0.514481707
2006,1,13,2,0.490091463
2006,1,13,3,0.480182927
2006,1,13,4,0.484756098
2006,1,13,5,0.535060976
2006,1,13,6,0.631097561
2006,1,13,7,0.733231707
2006,1,13,8,0.745426829
2006,1,13,9,0.790396341
2006,1,13,10,0.821646341
2006,1,13,11,0.830792683
2006,1,13,12,0.833079268
2006,1,13,13,0.835365854
2006,1,13,14,0.824695122
2006,1,13,15,0.821646341
2006,1,13,16,0.808689024
2006,1,13,17,0.806402439
2006,1,13,18,0.820884146
2006,1,13,19,0.846036585
2006,1,13,20,0.799542683
2006,1,13,21,0.761432927
2006,1,13,22,0.714939024
2006,1,13,23,0.641768293
2006,1,13,24,0.568597561
2006,1,14,1,0.527439024
2006,1,14,2,0.500762195
2006,1,14,3,0.486280488
2006,1,14,4,0.482469512
2006,1,14,5,0.497713415
2006,1,14,6,0.538109756
2006,1,14,7,0.59679878
2006,1,14,8,0.65929878
2006,1,14,9,0.724085366
2006,1,14,10,0.762195122
2006,1,14,11,0.775152439
2006,1,14,12,0.780487805
2006,1,14,13,0.774390244
2006,1,14,14,0.762957317
2006,1,14,15,0.760670732
2006,1,14,16,0.768292683
2006,1,14,17,0.773628049
2006,1,14,18,0.78125
2006,1,14,19,0.823932927
2006,1,14,20,0.78277439
2006,1,14,21,0.742378049
2006,1,14,22,0.694359756
2006,1,14,23,0.630335366
2006,1,14,24,0.566310976
2006,1,15,1,0.519817073
2006,1,15,2,0.490853659
2006,1,15,3,0.473323171
2006,1,15,4,0.47027439
2006,1,15,5,0.481707317
2006,1,15,6,0.508384146
2006,1,15,7,0.544207317
2006,1,15,8,0.59679878
2006,1,15,9,0.669969512
2006,1,15,10,0.717987805
2006,1,15,11,0.731707317
2006,1,15,12,0.741615854
2006,1,15,13,0.738567073
2006,1,15,14,0.740091463
2006,1,15,15,0.737804878
2006,1,15,16,0.745426829
2006,1,15,17,0.75152439
2006,1,15,18,0.770579268
2006,1,15,19,0.823932927
2006,1,15,20,0.778963415
2006,1,15,21,0.737804878
2006,1,15,22,0.69054878
2006,1,15,23,0.62195122
2006,1,15,24,0.555640244
2006,1,16,1,0.511432927
2006,1,16,2,0.483993902
2006,1,16,3,0.47027439
2006,1,16,4,0.474085366
2006,1,16,5,0.503810976
2006,1,16,6,0.563262195
2006,1,16,7,0.62804878
2006,1,16,8,0.672256098
2006,1,16,9,0.737804878
2006,1,16,10,0.78277439
2006,1,16,11,0.799542683
2006,1,16,12,0.804115854
2006,1,16,13,0.807164634
2006,1,16,14,0.805640244
2006,1,16,15,0.804878049
2006,1,16,16,0.810213415
2006,1,16,17,0.818597561
2006,1,16,18,0.836890244
2006,1,16,19,0.891768293
2006,1,16,20,0.846036585
2006,1,16,21,0.798018293
2006,1,16,22,0.727134146
2006,1,16,23,0.633384146
2006,1,16,24,0.560213415
2006,1,17,1,0.515243902
2006,1,17,2,0.489329268
2006,1,17,3,0.479420732
2006,1,17,4,0.487042683
2006,1,17,5,0.538109756
2006,1,17,6,0.643292683
2006,1,17,7,0.740091463
2006,1,17,8,0.75304878
2006,1,17,9,0.789634146
2006,1,17,10,0.820121951
2006,1,17,11,0.826981707
2006,1,17,12,0.836128049
2006,1,17,13,0.833841463
2006,1,17,14,0.834603659
2006,1,17,15,0.836128049
2006,1,17,16,0.833079268
2006,1,17,17,0.828506098
2006,1,17,18,0.842987805
2006,1,17,19,0.882621951
2006,1,17,20,0.848323171
2006,1,17,21,0.796493902
2006,1,17,22,0.734756098
2006,1,17,23,0.641006098
2006,1,17,24,0.561737805
2006,1,18,1,0.519054878
2006,1,18,2,0.493902439
2006,1,18,3,0.481707317
2006,1,18,4,0.489329268
2006,1,18,5,0.535060976
2006,1,18,6,0.638719512
2006,1,18,7,0.735518293
2006,1,18,8,0.75
2006,1,18,9,0.800304878
2006,1,18,10,0.814786585
2006,1,18,11,0.828506098
2006,1,18,12,0.833841463
2006,1,18,13,0.839176829
2006,1,18,14,0.842987805
2006,1,18,15,0.858231707
2006,1,18,16,0.856707317
2006,1,18,17,0.846036585
2006,1,18,18,0.857469512
2006,1,18,19,0.910060976
2006,1,18,20,0.862804878
2006,1,18,21,0.805640244
2006,1,18,22,0.743902439
2006,1,18,23,0.648628049
2006,1,18,24,0.571646341
2006,1,19,1,0.525152439
2006,1,19,2,0.495426829
2006,1,19,3,0.483993902
2006,1,19,4,0.491615854
2006,1,19,5,0.542682927
2006,1,19,6,0.639481707
2006,1,19,7,0.736280488
2006,1,19,8,0.749237805
2006,1,19,9,0.794969512
2006,1,19,10,0.827743902
2006,1,19,11,0.828506098
2006,1,19,12,0.834603659
2006,1,19,13,0.838414634
2006,1,19,14,0.836128049
2006,1,19,15,0.833841463
2006,1,19,16,0.836128049
2006,1,19,17,0.825457317
2006,1,19,18,0.839176829
2006,1,19,19,0.886432927
2006,1,19,20,0.846036585
2006,1,19,21,0.801067073
2006,1,19,22,0.728658537
2006,1,19,23,0.638719512
2006,1,19,24,0.563262195
2006,1,20,1,0.518292683
2006,1,20,2,0.494664634
2006,1,20,3,0.483993902
2006,1,20,4,0.493140244
2006,1,20,5,0.540396341
2006,1,20,6,0.637195122
2006,1,20,7,0.730945122
2006,1,20,8,0.754573171
2006,1,20,9,0.792682927
2006,1,20,10,0.823170732
2006,1,20,11,0.830792683
2006,1,20,12,0.828506098
2006,1,20,13,0.833841463
2006,1,20,14,0.830030488
2006,1,20,15,0.824695122
2006,1,20,16,0.8125
2006,1,20,17,0.801829268
2006,1,20,18,0.817835366
2006,1,20,19,0.849085366
2006,1,20,20,0.804115854
2006,1,20,21,0.761432927
2006,1,20,22,0.71722561
2006,1,20,23,0.647865854
2006,1,20,24,0.577743902
2006,1,21,1,0.532012195
2006,1,21,2,0.504573171
2006,1,21,3,0.490091463
2006,1,21,4,0.487042683
2006,1,21,5,0.50152439
2006,1,21,6,0.544207317
2006,1,21,7,0.603658537
2006,1,21,8,0.660823171
2006,1,21,9,0.72027439
2006,1,21,10,0.758384146
2006,1,21,11,0.78277439
2006,1,21,12,0.78125
2006,1,21,13,0.775152439
2006,1,21,14,0.766006098
2006,1,21,15,0.759908537
2006,1,21,16,0.763719512
2006,1,21,17,0.763719512
2006,1,21,18,0.769054878
2006,1,21,19,0.8125
2006,1,21,20,0.782012195
2006,1,21,21,0.743140244
2006,1,21,22,0.700457317
2006,1,21,23,0.638719512
2006,1,21,24,0.573170732
2006,1,22,1,0.52972561
2006,1,22,2,0.49695122
2006,1,22,3,0.480182927
2006,1,22,4,0.474847561
2006,1,22,5,0.487042683
2006,1,22,6,0.512957317
2006,1,22,7,0.555640244
2006,1,22,8,0.606707317
2006,1,22,9,0.673018293
2006,1,22,10,0.724085366
2006,1,22,11,0.744664634
2006,1,22,12,0.75152439
2006,1,22,13,0.74847561
2006,1,22,14,0.74847561
2006,1,22,15,0.74847561
2006,1,22,16,0.757621951
2006,1,22,17,0.766768293
2006,1,22,18,0.792682927
2006,1,22,19,0.832317073
2006,1,22,20,0.804115854
2006,1,22,21,0.757621951
2006,1,22,22,0.702743902
2006,1,22,23,0.622713415
2006,1,22,24,0.556402439
2006,1,23,1,0.516006098
2006,1,23,2,0.493902439
2006,1,23,3,0.483231707
2006,1,23,4,0.491615854
2006,1,23,5,0.544207317
2006,1,23,6,0.645579268
2006,1,23,7,0.737804878
2006,1,23,8,0.75
2006,1,23,9,0.798018293
2006,1,23,10,0.824695122
2006,1,23,11,0.837652439
2006,1,23,12,0.84527439
2006,1,23,13,0.84679878
2006,1,23,14,0.84527439
2006,1,23,15,0.84527439
2006,1,23,16,0.841463415
2006,1,23,17,0.835365854
2006,1,23,18,0.842987805
2006,1,23,19,0.895579268
2006,1,23,20,0.852134146
2006,1,23,21,0.798018293
2006,1,23,22,0.727134146
2006,1,23,23,0.636432927
2006,1,23,24,0.561737805
2006,1,24,1,0.519817073
2006,1,24,2,0.495426829
2006,1,24,3,0.485518293
2006,1,24,4,0.492378049
2006,1,24,5,0.544969512
2006,1,24,6,0.648628049
2006,1,24,7,0.745426829
2006,1,24,8,0.756097561
2006,1,24,9,0.786585366
2006,1,24,10,0.819359756
2006,1,24,11,0.830030488
2006,1,24,12,0.835365854
2006,1,24,13,0.833841463
2006,1,24,14,0.825457317
2006,1,24,15,0.819359756
2006,1,24,16,0.817073171
2006,1,24,17,0.818597561
2006,1,24,18,0.849847561
2006,1,24,19,0.888719512
2006,1,24,20,0.836128049
2006,1,24,21,0.788871951
2006,1,24,22,0.727134146
2006,1,24,23,0.639481707
2006,1,24,24,0.564786585
2006,1,25,1,0.520579268
2006,1,25,2,0.49695122
2006,1,25,3,0.487804878
2006,1,25,4,0.49695122
2006,1,25,5,0.551067073
2006,1,25,6,0.65625
2006,1,25,7,0.752286585
2006,1,25,8,0.763719512
2006,1,25,9,0.795731707
2006,1,25,10,0.821646341
2006,1,25,11,0.835365854
2006,1,25,12,0.839176829
2006,1,25,13,0.839176829
2006,1,25,14,0.84375
2006,1,25,15,0.84070122
2006,1,25,16,0.837652439
2006,1,25,17,0.842987805
2006,1,25,18,0.860518293
2006,1,25,19,0.90320122
2006,1,25,20,0.857469512
2006,1,25,21,0.807164634
2006,1,25,22,0.74847561
2006,1,25,23,0.660823171
2006,1,25,24,0.584603659
2006,1,26,1,0.537347561
2006,1,26,2,0.512195122
2006,1,26,3,0.500762195
2006,1,26,4,0.506859756
2006,1,26,5,0.558689024
2006,1,26,6,0.640243902
2006,1,26,7,0.74847561
2006,1,26,8,0.758384146
2006,1,26,9,0.807164634
2006,1,26,10,0.832317073
2006,1,26,11,0.839176829
2006,1,26,12,0.839939024
2006,1,26,13,0.841463415
2006,1,26,14,0.833841463
2006,1,26,15,0.825457317
2006,1,26,16,0.826981707
2006,1,26,17,0.832317073
2006,1,26,18,0.851371951
2006,1,26,19,0.892530488
2006,1,26,20,0.853658537
2006,1,26,21,0.803353659
2006,1,26,22,0.732469512
2006,1,26,23,0.647865854
2006,1,26,24,0.570884146
2006,1,27,1,0.525914634
2006,1,27,2,0.50152439
2006,1,27,3,0.489329268
2006,1,27,4,0.5
2006,1,27,5,0.551067073
2006,1,27,6,0.652439024
2006,1,27,7,0.743140244
2006,1,27,8,0.766768293
2006,1,27,9,0.806402439
2006,1,27,10,0.825457317
2006,1,27,11,0.836128049
2006,1,27,12,0.842987805
2006,1,27,13,0.844512195
2006,1,27,14,0.837652439
2006,1,27,15,0.832317073
