Data used in Shaner et al (2018),,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,s_cfs
2006,1,1,1,0.0016367
2006,1,1,2,0
2006,1,1,3,0
2006,1,1,4,0
2006,1,1,5,0
2006,1,1,6,0
2006,1,1,7,0
2006,1,1,8,0
2006,1,1,9,0
2006,1,1,10,0
2006,1,1,11,0
2006,1,1,12,0
2006,1,1,13,0.001437108
2006,1,1,14,0.0198565
2006,1,1,15,0.071936806
2006,1,1,16,0.158595751
2006,1,1,17,0.253533667
2006,1,1,18,0.319307187
2006,1,1,19,0.344038175
2006,1,1,20,0.323540342
2006,1,1,21,0.262389795
2006,1,1,22,0.173975913
2006,1,1,23,0.084776014
2006,1,1,24,0.020713941
2006,1,2,1,0.00096287
2006,1,2,2,0
2006,1,2,3,0
2006,1,2,4,0
2006,1,2,5,0
2006,1,2,6,0
2006,1,2,7,0
2006,1,2,8,0
2006,1,2,9,0
2006,1,2,10,0
2006,1,2,11,0
2006,1,2,12,0
2006,1,2,13,0.000971063
2006,1,2,14,0.014191248
2006,1,2,15,0.061458148
2006,1,2,16,0.14371505
2006,1,2,17,0.232854839
2006,1,2,18,0.299305802
2006,1,2,19,0.327566124
2006,1,2,20,0.316114435
2006,1,2,21,0.264597793
2006,1,2,22,0.182535241
2006,1,2,23,0.089767788
2006,1,2,24,0.021421402
2006,1,3,1,0.001146239
2006,1,3,2,0
2006,1,3,3,0
2006,1,3,4,0
2006,1,3,5,0
2006,1,3,6,0
2006,1,3,7,0
2006,1,3,8,0
2006,1,3,9,0
2006,1,3,10,0
2006,1,3,11,0
2006,1,3,12,0
2006,1,3,13,0.001285978
2006,1,3,14,0.01924984
2006,1,3,15,0.075546125
2006,1,3,16,0.16751882
2006,1,3,17,0.26676235
2006,1,3,18,0.340920143
2006,1,3,19,0.371239839
2006,1,3,20,0.356208043
2006,1,3,21,0.296933012
2006,1,3,22,0.203418651
2006,1,3,23,0.098947155
2006,1,3,24,0.024155914
2006,1,4,1,0.001429759
2006,1,4,2,0
2006,1,4,3,0
2006,1,4,4,0
2006,1,4,5,0
2006,1,4,6,0
2006,1,4,7,0
2006,1,4,8,0
2006,1,4,9,0
2006,1,4,10,0
2006,1,4,11,0
2006,1,4,12,0
2006,1,4,13,0.001855712
2006,1,4,14,0.02172571
2006,1,4,15,0.077989653
2006,1,4,16,0.172227557
2006,1,4,17,0.275510578
2006,1,4,18,0.349615045
2006,1,4,19,0.378609286
2006,1,4,20,0.35955448
2006,1,4,21,0.297486951
2006,1,4,22,0.204780001
2006,1,4,23,0.104818512
2006,1,4,24,0.031770597
2006,1,5,1,0.002193856
2006,1,5,2,0
2006,1,5,3,0
2006,1,5,4,0
2006,1,5,5,0
2006,1,5,6,0
2006,1,5,7,0
2006,1,5,8,0
2006,1,5,9,0
2006,1,5,10,0
2006,1,5,11,0
2006,1,5,12,0
2006,1,5,13,0.001251135
2006,1,5,14,0.019435443
2006,1,5,15,0.084559002
2006,1,5,16,0.195240723
2006,1,5,17,0.311952754
2006,1,5,18,0.394267061
2006,1,5,19,0.426282753
2006,1,5,20,0.406386747
2006,1,5,21,0.337330769
2006,1,5,22,0.230410046
2006,1,5,23,0.114506858
2006,1,5,24,0.030932222
2006,1,6,1,0.002023708
2006,1,6,2,0
2006,1,6,3,0
2006,1,6,4,0
2006,1,6,5,0
2006,1,6,6,0
2006,1,6,7,0
2006,1,6,8,0
2006,1,6,9,0
2006,1,6,10,0
2006,1,6,11,0
2006,1,6,12,0
2006,1,6,13,0.001605646
2006,1,6,14,0.024750491
2006,1,6,15,0.095036294
2006,1,6,16,0.203896866
2006,1,6,17,0.310575473
2006,1,6,18,0.384628129
2006,1,6,19,0.413087194
2006,1,6,20,0.391559773
2006,1,6,21,0.323254418
2006,1,6,22,0.220424884
2006,1,6,23,0.110059957
2006,1,6,24,0.030940317
2006,1,7,1,0.002452909
2006,1,7,2,0
2006,1,7,3,0
2006,1,7,4,0
2006,1,7,5,0
2006,1,7,6,0
2006,1,7,7,0
2006,1,7,8,0
2006,1,7,9,0
2006,1,7,10,0
2006,1,7,11,0
2006,1,7,12,0
2006,1,7,13,0.002269722
2006,1,7,14,0.027885669
2006,1,7,15,0.100298758
2006,1,7,16,0.209220941
2006,1,7,17,0.318709137
2006,1,7,18,0.394868383
2006,1,7,19,0.423562678
2006,1,7,20,0.400575403
2006,1,7,21,0.329332329
2006,1,7,22,0.22229079
2006,1,7,23,0.108317463
2006,1,7,24,0.030301995
2006,1,8,1,0.00225381
2006,1,8,2,0
2006,1,8,3,0
2006,1,8,4,0
2006,1,8,5,0
2006,1,8,6,0
2006,1,8,7,0
2006,1,8,8,0
2006,1,8,9,0
2006,1,8,10,0
2006,1,8,11,0
2006,1,8,12,0
2006,1,8,13,0.002110612
2006,1,8,14,0.025107596
2006,1,8,15,0.085954686
2006,1,8,16,0.182951009
2006,1,8,17,0.286316259
2006,1,8,18,0.360466211
2006,1,8,19,0.389461564
2006,1,8,20,0.370671408
2006,1,8,21,0.307920461
2006,1,8,22,0.212999298
2006,1,8,23,0.109580003
2006,1,8,24,0.033332714
2006,1,9,1,0.002584345
2006,1,9,2,0
2006,1,9,3,0
2006,1,9,4,0
2006,1,9,5,0
2006,1,9,6,0
2006,1,9,7,0
2006,1,9,8,0
2006,1,9,9,0
2006,1,9,10,0
2006,1,9,11,0
2006,1,9,12,0
2006,1,9,13,0.001553445
2006,1,9,14,0.019966062
2006,1,9,15,0.079859753
2006,1,9,16,0.186342901
2006,1,9,17,0.299080441
2006,1,9,18,0.377950705
2006,1,9,19,0.409639643
2006,1,9,20,0.390282038
2006,1,9,21,0.321084355
2006,1,9,22,0.218552038
2006,1,9,23,0.110639963
2006,1,9,24,0.033437732
2006,1,10,1,0.002664374
2006,1,10,2,0
2006,1,10,3,0
2006,1,10,4,0
2006,1,10,5,0
2006,1,10,6,0
2006,1,10,7,0
2006,1,10,8,0
2006,1,10,9,0
2006,1,10,10,0
2006,1,10,11,0
2006,1,10,12,0
2006,1,10,13,0.002239061
2006,1,10,14,0.024330241
2006,1,10,15,0.088312902
2006,1,10,16,0.195465152
2006,1,10,17,0.301855306
2006,1,10,18,0.374121695
2006,1,10,19,0.399341052
2006,1,10,20,0.376976703
2006,1,10,21,0.309152018
2006,1,10,22,0.211718642
2006,1,10,23,0.108377287
2006,1,10,24,0.030497642
2006,1,11,1,0.002173536
2006,1,11,2,9.68E-12
2006,1,11,3,0
2006,1,11,4,0
2006,1,11,5,0
2006,1,11,6,0
2006,1,11,7,0
2006,1,11,8,0
2006,1,11,9,0
2006,1,11,10,0
2006,1,11,11,0
2006,1,11,12,0
2006,1,11,13,0.001335547
2006,1,11,14,0.018400983
2006,1,11,15,0.081539095
2006,1,11,16,0.189249215
2006,1,11,17,0.296991812
2006,1,11,18,0.373364751
2006,1,11,19,0.405410189
2006,1,11,20,0.386411962
2006,1,11,21,0.320852629
2006,1,11,22,0.22040443
2006,1,11,23,0.108499248
2006,1,11,24,0.029650969
2006,1,12,1,0.002364836
2006,1,12,2,4.96E-10
2006,1,12,3,0
2006,1,12,4,0
2006,1,12,5,0
2006,1,12,6,0
2006,1,12,7,0
2006,1,12,8,0
2006,1,12,9,0
2006,1,12,10,0
2006,1,12,11,0
2006,1,12,12,0
2006,1,12,13,0.002324975
2006,1,12,14,0.027611756
2006,1,12,15,0.093502056
2006,1,12,16,0.200538053
2006,1,12,17,0.306606925
2006,1,12,18,0.379550921
2006,1,12,19,0.407221197
2006,1,12,20,0.384913238
2006,1,12,21,0.315622454
