Capacity data calculated from MERRA-2,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,w_cfs
2006,1,1,1,0.639917129
2006,1,1,2,0.649483962
2006,1,1,3,0.644312056
2006,1,1,4,0.636155696
2006,1,1,5,0.626535921
2006,1,1,6,0.611259852
2006,1,1,7,0.597567682
2006,1,1,8,0.586903911
2006,1,1,9,0.575528178
2006,1,1,10,0.562818623
2006,1,1,11,0.556096552
2006,1,1,12,0.551980271
2006,1,1,13,0.551587739
2006,1,1,14,0.530890193
2006,1,1,15,0.480076036
2006,1,1,16,0.441113063
2006,1,1,17,0.45386396
2006,1,1,18,0.490385169
2006,1,1,19,0.52425618
2006,1,1,20,0.550221483
2006,1,1,21,0.570351999
2006,1,1,22,0.596758375
2006,1,1,23,0.64731279
2006,1,1,24,0.678259754
2006,1,2,1,0.677791785
2006,1,2,2,0.667789945
2006,1,2,3,0.657253599
2006,1,2,4,0.651814976
2006,1,2,5,0.64933039
2006,1,2,6,0.648372089
2006,1,2,7,0.647788208
2006,1,2,8,0.64338599
2006,1,2,9,0.632471597
2006,1,2,10,0.626560246
2006,1,2,11,0.620208386
2006,1,2,12,0.615542352
2006,1,2,13,0.617797653
2006,1,2,14,0.605726196
2006,1,2,15,0.538965515
2006,1,2,16,0.473526957
2006,1,2,17,0.444421878
2006,1,2,18,0.473184406
2006,1,2,19,0.497407001
2006,1,2,20,0.515023289
2006,1,2,21,0.527525618
2006,1,2,22,0.542538769
2006,1,2,23,0.583537903
2006,1,2,24,0.613663474
2006,1,3,1,0.617490092
2006,1,3,2,0.610256824
2006,1,3,3,0.596098441
2006,1,3,4,0.58241292
2006,1,3,5,0.564761376
2006,1,3,6,0.546822511
2006,1,3,7,0.528598974
2006,1,3,8,0.510047556
2006,1,3,9,0.493050154
2006,1,3,10,0.46955662
2006,1,3,11,0.449355917
2006,1,3,12,0.43535739
2006,1,3,13,0.419573866
2006,1,3,14,0.389323166
2006,1,3,15,0.358731457
2006,1,3,16,0.300342629
2006,1,3,17,0.283921473
2006,1,3,18,0.313821867
2006,1,3,19,0.358200985
2006,1,3,20,0.381811593
2006,1,3,21,0.38713169
2006,1,3,22,0.395422604
2006,1,3,23,0.44847214
2006,1,3,24,0.507745393
2006,1,4,1,0.527213102
2006,1,4,2,0.523917401
2006,1,4,3,0.515566
2006,1,4,4,0.512602611
2006,1,4,5,0.50939795
2006,1,4,6,0.505541192
2006,1,4,7,0.49942477
2006,1,4,8,0.485301706
2006,1,4,9,0.471241975
2006,1,4,10,0.462057257
2006,1,4,11,0.457397359
2006,1,4,12,0.453141876
2006,1,4,13,0.447130645
2006,1,4,14,0.430132528
2006,1,4,15,0.364529591
2006,1,4,16,0.313615596
2006,1,4,17,0.294312662
2006,1,4,18,0.309017482
2006,1,4,19,0.335431812
2006,1,4,20,0.352684602
2006,1,4,21,0.359500953
2006,1,4,22,0.385259134
2006,1,4,23,0.45666738
2006,1,4,24,0.514743639
2006,1,5,1,0.540736841
2006,1,5,2,0.553852333
2006,1,5,3,0.56162765
2006,1,5,4,0.569596404
2006,1,5,5,0.579108263
2006,1,5,6,0.581851203
2006,1,5,7,0.579749648
2006,1,5,8,0.577142928
2006,1,5,9,0.57147454
2006,1,5,10,0.569061049
2006,1,5,11,0.56945117
2006,1,5,12,0.569835752
2006,1,5,13,0.563922904
2006,1,5,14,0.532592545
2006,1,5,15,0.448589803
2006,1,5,16,0.402568923
2006,1,5,17,0.431831981
2006,1,5,18,0.434922885
2006,1,5,19,0.440698161
2006,1,5,20,0.45564358
2006,1,5,21,0.466524841
2006,1,5,22,0.468640838
2006,1,5,23,0.502330046
2006,1,5,24,0.554443556
2006,1,6,1,0.570967076
2006,1,6,2,0.574559508
2006,1,6,3,0.568525147
2006,1,6,4,0.559401832
2006,1,6,5,0.548559142
2006,1,6,6,0.537870649
2006,1,6,7,0.531115813
2006,1,6,8,0.522314227
2006,1,6,9,0.514909752
2006,1,6,10,0.510916346
2006,1,6,11,0.508318255
2006,1,6,12,0.502942014
2006,1,6,13,0.493642199
2006,1,6,14,0.464366678
2006,1,6,15,0.442363686
2006,1,6,16,0.3868214
2006,1,6,17,0.316322648
2006,1,6,18,0.296572107
2006,1,6,19,0.305086195
2006,1,6,20,0.311482866
2006,1,6,21,0.313749482
2006,1,6,22,0.328889962
2006,1,6,23,0.373706729
2006,1,6,24,0.40958577
2006,1,7,1,0.437975276
2006,1,7,2,0.462904537
2006,1,7,3,0.481249597
2006,1,7,4,0.498156808
2006,1,7,5,0.510478763
2006,1,7,6,0.51786611
2006,1,7,7,0.516143547
2006,1,7,8,0.50935037
2006,1,7,9,0.495400674
2006,1,7,10,0.480330597
2006,1,7,11,0.465150412
2006,1,7,12,0.450182977
2006,1,7,13,0.43863241
2006,1,7,14,0.419381873
2006,1,7,15,0.38130218
2006,1,7,16,0.321719131
2006,1,7,17,0.253990128
2006,1,7,18,0.268638594
2006,1,7,19,0.334612666
2006,1,7,20,0.383028002
2006,1,7,21,0.405361148
2006,1,7,22,0.438242909
2006,1,7,23,0.521034147
2006,1,7,24,0.612533331
2006,1,8,1,0.638053314
2006,1,8,2,0.636951757
2006,1,8,3,0.63226364
2006,1,8,4,0.625229976
2006,1,8,5,0.61830746
2006,1,8,6,0.614566733
2006,1,8,7,0.611053105
2006,1,8,8,0.605020654
2006,1,8,9,0.594630536
2006,1,8,10,0.58248347
2006,1,8,11,0.574121328
2006,1,8,12,0.568410937
2006,1,8,13,0.560086146
2006,1,8,14,0.532014128
2006,1,8,15,0.483010661
2006,1,8,16,0.433240379
2006,1,8,17,0.458929979
2006,1,8,18,0.496783704
