Data used in Shaner et al (2018),,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,demand (MW)
2006,1,1,1,466818
2006,1,1,2,468672
2006,1,1,3,456165
2006,1,1,4,447886
2006,1,1,5,437977
2006,1,1,6,419193
2006,1,1,7,408774
2006,1,1,8,398233
2006,1,1,9,388571
2006,1,1,10,384033
2006,1,1,11,382356
2006,1,1,12,386003
2006,1,1,13,391073
2006,1,1,14,398789
2006,1,1,15,407682
2006,1,1,16,420574
2006,1,1,17,431998
2006,1,1,18,438640
2006,1,1,19,440623
2006,1,1,20,438200
2006,1,1,21,432583
2006,1,1,22,429080
2006,1,1,23,431011
2006,1,1,24,445288
2006,1,2,1,460344
2006,1,2,2,466242
2006,1,2,3,465519
2006,1,2,4,462378
2006,1,2,5,450790
2006,1,2,6,435122
2006,1,2,7,418034
2006,1,2,8,406857
2006,1,2,9,397019
2006,1,2,10,393167
2006,1,2,11,392165
2006,1,2,12,396694
2006,1,2,13,406852
2006,1,2,14,420622
2006,1,2,15,434980
2006,1,2,16,445267
2006,1,2,17,450438
2006,1,2,18,449066
2006,1,2,19,443655
2006,1,2,20,435560
2006,1,2,21,427329
2006,1,2,22,421038
2006,1,2,23,423881
2006,1,2,24,441777
2006,1,3,1,461762
2006,1,3,2,469504
2006,1,3,3,470695
2006,1,3,4,467380
2006,1,3,5,456460
2006,1,3,6,441924
2006,1,3,7,427509
2006,1,3,8,414213
2006,1,3,9,404904
2006,1,3,10,399874
2006,1,3,11,398408
2006,1,3,12,401072
2006,1,3,13,409196
2006,1,3,14,420674
2006,1,3,15,433417
2006,1,3,16,440387
2006,1,3,17,440001
2006,1,3,18,435425
2006,1,3,19,431133
2006,1,3,20,427517
2006,1,3,21,422753
2006,1,3,22,419190
2006,1,3,23,425002
2006,1,3,24,444622
2006,1,4,1,464791
2006,1,4,2,475175
2006,1,4,3,477491
2006,1,4,4,470017
2006,1,4,5,453056
2006,1,4,6,432828
2006,1,4,7,421858
2006,1,4,8,410837
2006,1,4,9,404523
2006,1,4,10,403432
2006,1,4,11,408383
2006,1,4,12,424189
2006,1,4,13,458122
2006,1,4,14,490209
2006,1,4,15,503499
2006,1,4,16,505820
2006,1,4,17,505239
2006,1,4,18,499985
2006,1,4,19,493598
2006,1,4,20,488035
2006,1,4,21,483499
2006,1,4,22,480259
2006,1,4,23,484899
2006,1,4,24,504189
2006,1,5,1,528024
2006,1,5,2,539132
2006,1,5,3,539771
2006,1,5,4,531916
2006,1,5,5,511948
2006,1,5,6,487292
2006,1,5,7,470183
2006,1,5,8,459660
2006,1,5,9,452740
2006,1,5,10,451016
2006,1,5,11,456115
2006,1,5,12,472844
2006,1,5,13,506558
2006,1,5,14,537597
2006,1,5,15,548148
2006,1,5,16,539193
2006,1,5,17,530998
2006,1,5,18,519313
2006,1,5,19,507142
2006,1,5,20,498160
2006,1,5,21,490239
2006,1,5,22,485558
2006,1,5,23,490166
2006,1,5,24,501625
2006,1,6,1,544672
2006,1,6,2,545059
2006,1,6,3,544456
2006,1,6,4,534681
2006,1,6,5,512903
2006,1,6,6,488964
2006,1,6,7,469367
2006,1,6,8,459238
2006,1,6,9,450717
2006,1,6,10,448038
2006,1,6,11,450025
2006,1,6,12,463873
2006,1,6,13,495988
2006,1,6,14,524660
2006,1,6,15,530442
2006,1,6,16,524163
2006,1,6,17,515412
2006,1,6,18,504976
2006,1,6,19,494337
2006,1,6,20,485431
2006,1,6,21,478302
2006,1,6,22,474932
2006,1,6,23,478328
2006,1,6,24,496557
2006,1,7,1,515309
2006,1,7,2,521338
2006,1,7,3,518571
2006,1,7,4,507028
2006,1,7,5,486317
2006,1,7,6,461415
2006,1,7,7,439833
2006,1,7,8,425331
2006,1,7,9,415538
2006,1,7,10,410275
2006,1,7,11,410994
2006,1,7,12,423548
2006,1,7,13,454204
2006,1,7,14,483252
2006,1,7,15,491680
2006,1,7,16,490819
2006,1,7,17,488288
2006,1,7,18,478539
2006,1,7,19,472961
2006,1,7,20,465513
2006,1,7,21,459612
2006,1,7,22,456542
2006,1,7,23,458302
2006,1,7,24,473591
2006,1,8,1,489130
2006,1,8,2,494654
2006,1,8,3,491903
2006,1,8,4,482127
2006,1,8,5,461912
2006,1,8,6,437195
2006,1,8,7,415279
2006,1,8,8,400120
2006,1,8,9,389574
2006,1,8,10,384878
2006,1,8,11,385144
2006,1,8,12,395892
2006,1,8,13,426353
2006,1,8,14,455738
2006,1,8,15,467440
2006,1,8,16,472810
2006,1,8,17,477000
2006,1,8,18,475277
2006,1,8,19,468924
2006,1,8,20,463800
2006,1,8,21,459190
2006,1,8,22,454798
2006,1,8,23,454676
2006,1,8,24,463720
2006,1,9,1,472887
2006,1,9,2,473737
2006,1,9,3,478586
2006,1,9,4,459462
2006,1,9,5,443835
2006,1,9,6,424518
2006,1,9,7,406311
2006,1,9,8,390662
2006,1,9,9,379656
2006,1,9,10,374513
2006,1,9,11,372815
2006,1,9,12,376408
2006,1,9,13,384516
2006,1,9,14,399335
2006,1,9,15,416828
2006,1,9,16,432648
2006,1,9,17,443759
2006,1,9,18,447731
2006,1,9,19,446242
2006,1,9,20,441576
2006,1,9,21,437453
2006,1,9,22,435348
2006,1,9,23,439000
2006,1,9,24,451263
2006,1,10,1,462944
2006,1,10,2,467281
2006,1,10,3,465816
2006,1,10,4,458556
2006,1,10,5,445924
2006,1,10,6,430687
2006,1,10,7,415438
2006,1,10,8,401361
2006,1,10,9,391956
2006,1,10,10,387455
2006,1,10,11,386868
2006,1,10,12,390379
2006,1,10,13,399979
2006,1,10,14,414540
2006,1,10,15,431075
2006,1,10,16,446269
2006,1,10,17,454710
2006,1,10,18,455821
2006,1,10,19,455242
2006,1,10,20,451878
2006,1,10,21,446510
2006,1,10,22,437841
2006,1,10,23,446807
2006,1,10,24,463436
2006,1,11,1,487652
2006,1,11,2,500680
2006,1,11,3,504718
2006,1,11,4,499974
2006,1,11,5,486629
2006,1,11,6,468914
2006,1,11,7,454043
2006,1,11,8,445226
2006,1,11,9,440461
2006,1,11,10,440870
2006,1,11,11,447516
2006,1,11,12,465679
2006,1,11,13,503542
2006,1,11,14,537836
2006,1,11,15,548122
2006,1,11,16,544015
2006,1,11,17,536193
2006,1,11,18,524503
2006,1,11,19,511321
2006,1,11,20,501478
2006,1,11,21,492402
2006,1,11,22,486204
2006,1,11,23,488884
2006,1,11,24,507241
2006,1,12,1,526670
2006,1,12,2,542795
2006,1,12,3,543983
2006,1,12,4,535577
2006,1,12,5,508364
2006,1,12,6,484495
2006,1,12,7,486124
2006,1,12,8,463368
2006,1,12,9,455044
2006,1,12,10,451955
2006,1,12,11,454966
2006,1,12,12,468663
2006,1,12,13,501590
2006,1,12,14,532473
2006,1,12,15,539627
2006,1,12,16,532481
2006,1,12,17,522010
2006,1,12,18,510360
2006,1,12,19,498360
2006,1,12,20,488844
2006,1,12,21,481019
2006,1,12,22,474702
2006,1,12,23,476322
2006,1,12,24,492408
2006,1,13,1,513516
2006,1,13,2,525224
2006,1,13,3,526406
2006,1,13,4,519791
2006,1,13,5,504165
2006,1,13,6,483761
2006,1,13,7,465782
2006,1,13,8,455209
2006,1,13,9,448966
2006,1,13,10,447734
