Data used in Shaner et al (2018),,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,w_cfs
2006,1,1,1,0.159338078
2006,1,1,2,0.159158919
2006,1,1,3,0.157266519
2006,1,1,4,0.153056696
2006,1,1,5,0.15014819
2006,1,1,6,0.148455482
2006,1,1,7,0.147025022
2006,1,1,8,0.144617093
2006,1,1,9,0.141274585
2006,1,1,10,0.137892358
2006,1,1,11,0.137322149
2006,1,1,12,0.139401757
2006,1,1,13,0.143794678
2006,1,1,14,0.148931404
2006,1,1,15,0.145511945
2006,1,1,16,0.143573926
2006,1,1,17,0.168830482
2006,1,1,18,0.196582824
2006,1,1,19,0.216827921
2006,1,1,20,0.230998424
2006,1,1,21,0.236832164
2006,1,1,22,0.234866543
2006,1,1,23,0.228288869
2006,1,1,24,0.221623198
2006,1,2,1,0.213756275
2006,1,2,2,0.200137427
2006,1,2,3,0.189070566
2006,1,2,4,0.178316595
2006,1,2,5,0.17067059
2006,1,2,6,0.166321783
2006,1,2,7,0.163107718
2006,1,2,8,0.159663516
2006,1,2,9,0.154498451
2006,1,2,10,0.150296273
2006,1,2,11,0.145849453
2006,1,2,12,0.141744466
2006,1,2,13,0.141141913
2006,1,2,14,0.139529124
2006,1,2,15,0.131276605
2006,1,2,16,0.123303655
2006,1,2,17,0.124693747
2006,1,2,18,0.148030969
2006,1,2,19,0.167936748
2006,1,2,20,0.181175171
2006,1,2,21,0.186602751
2006,1,2,22,0.183489168
2006,1,2,23,0.174186423
2006,1,2,24,0.166565731
2006,1,3,1,0.16154781
2006,1,3,2,0.158254112
2006,1,3,3,0.153839136
2006,1,3,4,0.150728829
2006,1,3,5,0.145731521
2006,1,3,6,0.141119639
2006,1,3,7,0.136175535
2006,1,3,8,0.130067012
2006,1,3,9,0.123381003
2006,1,3,10,0.113618191
2006,1,3,11,0.104405217
2006,1,3,12,0.098226119
2006,1,3,13,0.094620702
2006,1,3,14,0.090531332
2006,1,3,15,0.088291113
2006,1,3,16,0.0794735
2006,1,3,17,0.084828314
2006,1,3,18,0.109515801
2006,1,3,19,0.134871385
2006,1,3,20,0.148208413
2006,1,3,21,0.14951791
2006,1,3,22,0.141430145
2006,1,3,23,0.134700016
2006,1,3,24,0.13859888
2006,1,4,1,0.143757143
2006,1,4,2,0.141363818
2006,1,4,3,0.136387219
2006,1,4,4,0.132969845
2006,1,4,5,0.129747309
2006,1,4,6,0.126028419
2006,1,4,7,0.12230706
2006,1,4,8,0.117500019
2006,1,4,9,0.112619454
2006,1,4,10,0.107552241
2006,1,4,11,0.103186906
2006,1,4,12,0.099363945
2006,1,4,13,0.095871803
2006,1,4,14,0.09194754
2006,1,4,15,0.082505403
2006,1,4,16,0.078055276
2006,1,4,17,0.079414142
2006,1,4,18,0.086741022
2006,1,4,19,0.097525471
2006,1,4,20,0.105199839
2006,1,4,21,0.104601618
2006,1,4,22,0.100440134
2006,1,4,23,0.101569766
2006,1,4,24,0.107380711
2006,1,5,1,0.112207752
2006,1,5,2,0.116063309
2006,1,5,3,0.11918034
2006,1,5,4,0.122690446
2006,1,5,5,0.126854219
2006,1,5,6,0.129992953
2006,1,5,7,0.131316705
2006,1,5,8,0.132228648
2006,1,5,9,0.132017262
2006,1,5,10,0.131642103
2006,1,5,11,0.131985898
2006,1,5,12,0.132509712
2006,1,5,13,0.131345592
2006,1,5,14,0.126853474
2006,1,5,15,0.113703563
2006,1,5,16,0.108711704
2006,1,5,17,0.130248883
2006,1,5,18,0.140908248
2006,1,5,19,0.145477619
2006,1,5,20,0.149728073
2006,1,5,21,0.150572633
2006,1,5,22,0.141188062
2006,1,5,23,0.125409778
2006,1,5,24,0.119418023
2006,1,6,1,0.122291477
2006,1,6,2,0.123472589
2006,1,6,3,0.122082278
2006,1,6,4,0.120427472
2006,1,6,5,0.118272381
2006,1,6,6,0.116337546
2006,1,6,7,0.115243569
2006,1,6,8,0.114221998
2006,1,6,9,0.113307744
2006,1,6,10,0.112405385
2006,1,6,11,0.111400168
2006,1,6,12,0.110403216
2006,1,6,13,0.108880276
2006,1,6,14,0.106773578
2006,1,6,15,0.107793156
2006,1,6,16,0.097412935
2006,1,6,17,0.083144985
2006,1,6,18,0.082296767
2006,1,6,19,0.088227133
2006,1,6,20,0.090140299
2006,1,6,21,0.08835984
2006,1,6,22,0.083351747
2006,1,6,23,0.082576409
2006,1,6,24,0.089711731
2006,1,7,1,0.097871498
2006,1,7,2,0.103569029
2006,1,7,3,0.10770368
2006,1,7,4,0.111171691
2006,1,7,5,0.113166222
2006,1,7,6,0.114011552
2006,1,7,7,0.112677619
