Data prepared by Tyler R. & Dave F.,,,,
Data corresponds to inputs from 54 balancing authorities summed together post anomaly identification and imputation.,,,,
This provides coverage over all of CONUS.,,,,
The two excluded balancing authorities (SEC and OVEC) account for less than 0.1% of the CONUS total.,,,,
This file corresponds to an updated data cleaning round with one additional year of data included compared to that found in the final version of data published in,,,,
Scientific Data: https://zenodo.org/record/3690240,,,,
Data was querried from the EIA database on 28 Sept 2020,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,demand (MW)
2006,1,1,1,810
2006,1,1,2,760
2006,1,1,3,702
2006,1,1,4,673
2006,1,1,5,669
2006,1,1,6,692
2006,1,1,7,722
2006,1,1,8,767
2006,1,1,9,843
2006,1,1,10,909
2006,1,1,11,955
2006,1,1,12,970
2006,1,1,13,961
2006,1,1,14,952
2006,1,1,15,945
2006,1,1,16,948
2006,1,1,17,959
2006,1,1,18,994
2006,1,1,19,1025
2006,1,1,20,996
2006,1,1,21,956
2006,1,1,22,908
2006,1,1,23,837
2006,1,1,24,758
2006,1,2,1,700
2006,1,2,2,661
2006,1,2,3,641
2006,1,2,4,640
2006,1,2,5,664
2006,1,2,6,718
2006,1,2,7,768
2006,1,2,8,827
2006,1,2,9,933
2006,1,2,10,1009
2006,1,2,11,1044
2006,1,2,12,1047
2006,1,2,13,1040
2006,1,2,14,1030
2006,1,2,15,1026
2006,1,2,16,1043
2006,1,2,17,1061
2006,1,2,18,1108
2006,1,2,19,1155
2006,1,2,20,1108
2006,1,2,21,1046
2006,1,2,22,966
2006,1,2,23,860
2006,1,2,24,758
2006,1,3,1,696
2006,1,3,2,664
2006,1,3,3,648
2006,1,3,4,651
2006,1,3,5,702
2006,1,3,6,814
2006,1,3,7,905
2006,1,3,8,961
2006,1,3,9,1036
2006,1,3,10,1090
2006,1,3,11,1115
2006,1,3,12,1133
2006,1,3,13,1139
2006,1,3,14,1140
2006,1,3,15,1133
2006,1,3,16,1134
2006,1,3,17,1121
2006,1,3,18,1141
2006,1,3,19,1168
2006,1,3,20,1110
2006,1,3,21,1047
2006,1,3,22,958
2006,1,3,23,843
2006,1,3,24,741
2006,1,4,1,678
2006,1,4,2,642
2006,1,4,3,622
2006,1,4,4,627
2006,1,4,5,675
2006,1,4,6,786
2006,1,4,7,885
2006,1,4,8,932
2006,1,4,9,989
2006,1,4,10,1034
2006,1,4,11,1054
2006,1,4,12,1065
2006,1,4,13,1056
2006,1,4,14,1042
2006,1,4,15,1029
2006,1,4,16,1022
2006,1,4,17,1014
2006,1,4,18,1066
2006,1,4,19,1099
2006,1,4,20,1060
2006,1,4,21,988
2006,1,4,22,903
2006,1,4,23,798
2006,1,4,24,699
2006,1,5,1,644
2006,1,5,2,615
2006,1,5,3,599
2006,1,5,4,608
2006,1,5,5,665
2006,1,5,6,776
2006,1,5,7,884
2006,1,5,8,919
2006,1,5,9,974
2006,1,5,10,1014
2006,1,5,11,1033
2006,1,5,12,1034
2006,1,5,13,1033
2006,1,5,14,1027
2006,1,5,15,1021
2006,1,5,16,1021
2006,1,5,17,1014
2006,1,5,18,1048
2006,1,5,19,1103
2006,1,5,20,1053
2006,1,5,21,978
2006,1,5,22,909
2006,1,5,23,807
2006,1,5,24,706
2006,1,6,1,652
2006,1,6,2,622
2006,1,6,3,606
2006,1,6,4,615
2006,1,6,5,673
2006,1,6,6,792
2006,1,6,7,906
2006,1,6,8,946
2006,1,6,9,1009
2006,1,6,10,1051
2006,1,6,11,1066
2006,1,6,12,1069
2006,1,6,13,1072
2006,1,6,14,1067
2006,1,6,15,1059
2006,1,6,16,1058
2006,1,6,17,1042
2006,1,6,18,1061
2006,1,6,19,1103
2006,1,6,20,1038
2006,1,6,21,990
2006,1,6,22,922
2006,1,6,23,841
2006,1,6,24,751
2006,1,7,1,690
2006,1,7,2,651
2006,1,7,3,627
2006,1,7,4,623
2006,1,7,5,644
2006,1,7,6,698
2006,1,7,7,764
2006,1,7,8,833
2006,1,7,9,919
2006,1,7,10,972
2006,1,7,11,998
2006,1,7,12,997
2006,1,7,13,989
2006,1,7,14,971
2006,1,7,15,966
2006,1,7,16,965
2006,1,7,17,972
2006,1,7,18,1013
2006,1,7,19,1059
2006,1,7,20,1006
2006,1,7,21,962
2006,1,7,22,902
2006,1,7,23,826
2006,1,7,24,742
2006,1,8,1,681
2006,1,8,2,640
2006,1,8,3,616
2006,1,8,4,613
2006,1,8,5,627
2006,1,8,6,668
2006,1,8,7,718
2006,1,8,8,783
2006,1,8,9,867
2006,1,8,10,923
2006,1,8,11,948
2006,1,8,12,955
2006,1,8,13,949
2006,1,8,14,941
2006,1,8,15,941
2006,1,8,16,951
2006,1,8,17,969
2006,1,8,18,1021
2006,1,8,19,1089
2006,1,8,20,1039
2006,1,8,21,986
2006,1,8,22,919
2006,1,8,23,817
2006,1,8,24,723
2006,1,9,1,663
2006,1,9,2,630
2006,1,9,3,616
2006,1,9,4,629
2006,1,9,5,694
2006,1,9,6,814
2006,1,9,7,925
2006,1,9,8,968
2006,1,9,9,1030
2006,1,9,10,1071
2006,1,9,11,1090
2006,1,9,12,1099
2006,1,9,13,1090
2006,1,9,14,1082
2006,1,9,15,1068
2006,1,9,16,1073
2006,1,9,17,1072
2006,1,9,18,1090
2006,1,9,19,1149
2006,1,9,20,1111
2006,1,9,21,1037
2006,1,9,22,941
2006,1,9,23,823
2006,1,9,24,723
2006,1,10,1,664
2006,1,10,2,632
2006,1,10,3,619
2006,1,10,4,632
2006,1,10,5,721
2006,1,10,6,855
2006,1,10,7,981
2006,1,10,8,973
2006,1,10,9,1037
2006,1,10,10,1063
2006,1,10,11,1081
2006,1,10,12,1091
2006,1,10,13,1096
2006,1,10,14,1085
2006,1,10,15,1089
2006,1,10,16,1090
2006,1,10,17,1079
2006,1,10,18,1083
2006,1,10,19,1138
2006,1,10,20,1092
2006,1,10,21,1039
2006,1,10,22,954
2006,1,10,23,839
2006,1,10,24,738
2006,1,11,1,679
2006,1,11,2,647
2006,1,11,3,637
2006,1,11,4,645
2006,1,11,5,704
2006,1,11,6,840
2006,1,11,7,963
2006,1,11,8,965
2006,1,11,9,1005
2006,1,11,10,1044
2006,1,11,11,1055
2006,1,11,12,1066
2006,1,11,13,1069
2006,1,11,14,1065
2006,1,11,15,1055
2006,1,11,16,1054
2006,1,11,17,1047
2006,1,11,18,1067
2006,1,11,19,1128
2006,1,11,20,1090
2006,1,11,21,1028
2006,1,11,22,947
2006,1,11,23,834
2006,1,11,24,728
2006,1,12,1,676
2006,1,12,2,663
2006,1,12,3,652
2006,1,12,4,683
2006,1,12,5,720
2006,1,12,6,840
2006,1,12,7,971
2006,1,12,8,981
2006,1,12,9,1031
