Weighted by the total firm capacity of Oahu / total firm capacity for all of Hawaiian Electric Inc.,,,,
Data corresponds to inputs from 54 balancing authorities summed together post anomaly identification and imputation.,,,,
This provides coverage over all of CONUS.,,,,
The two excluded balancing authorities (SEC and OVEC) account for less than 0.1% of the CONUS total.,,,,
This file corresponds to an updated data cleaning round with one additional year of data included compared to that found in the final version of data published in,,,,
Scientific Data: https://zenodo.org/record/3690240,,,,
Data was querried from the EIA database on 28 Sept 2020,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,demand (MW)
2006,1,1,1,603.175572
2006,1,1,2,565.942512
2006,1,1,3,522.7521624
2006,1,1,4,501.1569876
2006,1,1,5,498.1783428
2006,1,1,6,515.3055504
2006,1,1,7,537.6453864
2006,1,1,8,571.1551404
2006,1,1,9,627.7493916
2006,1,1,10,676.8970308
2006,1,1,11,711.151446
2006,1,1,12,722.321364
2006,1,1,13,715.6194132
2006,1,1,14,708.9174624
2006,1,1,15,703.704834
2006,1,1,16,705.9388176
2006,1,1,17,714.1300908
2006,1,1,18,740.1932328
2006,1,1,19,763.27773
2006,1,1,20,741.6825552
2006,1,1,21,711.8961072
2006,1,1,22,676.1523696
2006,1,1,23,623.2814244
2006,1,1,24,564.4531896
2006,1,2,1,521.26284
2006,1,2,2,492.2210532
2006,1,2,3,477.3278292
2006,1,2,4,476.583168
2006,1,2,5,494.4550368
2006,1,2,6,534.6667416
2006,1,2,7,571.8998016
2006,1,2,8,615.8348124
2006,1,2,9,694.7688996
2006,1,2,10,751.3631508
2006,1,2,11,777.4262928
2006,1,2,12,779.6602764
2006,1,2,13,774.447648
2006,1,2,14,767.001036
2006,1,2,15,764.0223912
2006,1,2,16,776.6816316
2006,1,2,17,790.0855332
2006,1,2,18,825.0846096
2006,1,2,19,860.083686
2006,1,2,20,825.0846096
2006,1,2,21,778.9156152
2006,1,2,22,719.3427192
2006,1,2,23,640.408632
2006,1,2,24,564.4531896
2006,1,3,1,518.2841952
2006,1,3,2,494.4550368
2006,1,3,3,482.5404576
2006,1,3,4,484.7744412
2006,1,3,5,522.7521624
2006,1,3,6,606.1542168
2006,1,3,7,673.918386
2006,1,3,8,715.6194132
2006,1,3,9,771.4690032
2006,1,3,10,811.680708
2006,1,3,11,830.297238
2006,1,3,12,843.7011396
2006,1,3,13,848.1691068
2006,1,3,14,848.913768
2006,1,3,15,843.7011396
2006,1,3,16,844.4458008
2006,1,3,17,834.7652052
2006,1,3,18,849.6584292
2006,1,3,19,869.7642816
2006,1,3,20,826.573932
2006,1,3,21,779.6602764
2006,1,3,22,713.3854296
2006,1,3,23,627.7493916
2006,1,3,24,551.7939492
2006,1,4,1,504.8802936
2006,1,4,2,478.0724904
2006,1,4,3,463.1792664
2006,1,4,4,466.9025724
2006,1,4,5,502.64631
2006,1,4,6,585.3037032
2006,1,4,7,659.025162
2006,1,4,8,694.0242384
2006,1,4,9,736.4699268
2006,1,4,10,769.9796808
2006,1,4,11,784.8729048
2006,1,4,12,793.064178
2006,1,4,13,786.3622272
2006,1,4,14,775.9369704
2006,1,4,15,766.2563748
2006,1,4,16,761.0437464
2006,1,4,17,755.0864568
2006,1,4,18,793.8088392
2006,1,4,19,818.3826588
2006,1,4,20,789.340872
2006,1,4,21,735.7252656
2006,1,4,22,672.4290636
2006,1,4,23,594.2396376
2006,1,4,24,520.5181788
2006,1,5,1,479.5618128
2006,1,5,2,457.966638
2006,1,5,3,446.0520588
2006,1,5,4,452.7540096
2006,1,5,5,495.199698
2006,1,5,6,577.8570912
2006,1,5,7,658.2805008
2006,1,5,8,684.3436428
2006,1,5,9,725.3000088
2006,1,5,10,755.0864568
2006,1,5,11,769.2350196
2006,1,5,12,769.9796808
2006,1,5,13,769.2350196
2006,1,5,14,764.7670524
2006,1,5,15,760.2990852
2006,1,5,16,760.2990852
2006,1,5,17,755.0864568
2006,1,5,18,780.4049376
2006,1,5,19,821.3613036
2006,1,5,20,784.1282436
2006,1,5,21,728.2786536
2006,1,5,22,676.8970308
2006,1,5,23,600.9415884
2006,1,5,24,525.7308072
2006,1,6,1,485.5191024
2006,1,6,2,463.1792664
2006,1,6,3,451.2646872
2006,1,6,4,457.966638
2006,1,6,5,501.1569876
2006,1,6,6,589.7716704
2006,1,6,7,674.6630472
2006,1,6,8,704.4494952
2006,1,6,9,751.3631508
2006,1,6,10,782.6389212
2006,1,6,11,793.8088392
2006,1,6,12,796.0428228
2006,1,6,13,798.2768064
2006,1,6,14,794.5535004
2006,1,6,15,788.5962108
2006,1,6,16,787.8515496
2006,1,6,17,775.9369704
2006,1,6,18,790.0855332
2006,1,6,19,821.3613036
2006,1,6,20,772.9583256
2006,1,6,21,737.214588
2006,1,6,22,686.5776264
2006,1,6,23,626.2600692
2006,1,6,24,559.2405612
2006,1,7,1,513.816228
2006,1,7,2,484.7744412
2006,1,7,3,466.9025724
2006,1,7,4,463.9239276
2006,1,7,5,479.5618128
2006,1,7,6,519.7735176
2006,1,7,7,568.9211568
2006,1,7,8,620.3027796
2006,1,7,9,684.3436428
2006,1,7,10,723.8106864
2006,1,7,11,743.1718776
2006,1,7,12,742.4272164
2006,1,7,13,736.4699268
2006,1,7,14,723.0660252
2006,1,7,15,719.3427192
2006,1,7,16,718.598058
2006,1,7,17,723.8106864
2006,1,7,18,754.3417956
2006,1,7,19,788.5962108
2006,1,7,20,749.1291672
2006,1,7,21,716.3640744
2006,1,7,22,671.6844024
2006,1,7,23,615.0901512
2006,1,7,24,552.5386104
2006,1,8,1,507.1142772
2006,1,8,2,476.583168
2006,1,8,3,458.7112992
2006,1,8,4,456.4773156
2006,1,8,5,466.9025724
2006,1,8,6,497.4336816
2006,1,8,7,534.6667416
2006,1,8,8,583.0697196
2006,1,8,9,645.6212604
2006,1,8,10,687.3222876
2006,1,8,11,705.9388176
2006,1,8,12,711.151446
2006,1,8,13,706.6834788
2006,1,8,14,700.7261892
2006,1,8,15,700.7261892
2006,1,8,16,708.1728012
2006,1,8,17,721.5767028
2006,1,8,18,760.2990852
2006,1,8,19,810.9360468
2006,1,8,20,773.7029868
2006,1,8,21,734.2359432
2006,1,8,22,684.3436428
2006,1,8,23,608.3882004
2006,1,8,24,538.3900476
2006,1,9,1,493.7103756
2006,1,9,2,469.136556
2006,1,9,3,458.7112992
2006,1,9,4,468.3918948
2006,1,9,5,516.7948728
2006,1,9,6,606.1542168
2006,1,9,7,688.81161
2006,1,9,8,720.8320416
2006,1,9,9,767.001036
2006,1,9,10,797.5321452
2006,1,9,11,811.680708
2006,1,9,12,818.3826588
2006,1,9,13,811.680708
2006,1,9,14,805.7234184
2006,1,9,15,795.2981616
2006,1,9,16,799.0214676
2006,1,9,17,798.2768064
2006,1,9,18,811.680708
2006,1,9,19,855.6157188
2006,1,9,20,827.3185932
2006,1,9,21,772.2136644
2006,1,9,22,700.7261892
2006,1,9,23,612.8561676
2006,1,9,24,538.3900476
2006,1,10,1,494.4550368
2006,1,10,2,470.6258784
2006,1,10,3,460.9452828
2006,1,10,4,470.6258784
2006,1,10,5,536.9007252
2006,1,10,6,636.685326
2006,1,10,7,730.5126372
2006,1,10,8,724.5553476
2006,1,10,9,772.2136644
2006,1,10,10,791.5748556
2006,1,10,11,804.9787572
2006,1,10,12,812.4253692
2006,1,10,13,816.1486752
2006,1,10,14,807.957402
2006,1,10,15,810.9360468
2006,1,10,16,811.680708
2006,1,10,17,803.4894348
2006,1,10,18,806.4680796
2006,1,10,19,847.4244456
2006,1,10,20,813.1700304
2006,1,10,21,773.7029868
2006,1,10,22,710.4067848
2006,1,10,23,624.7707468
2006,1,10,24,549.5599656
2006,1,11,1,505.6249548
2006,1,11,2,481.7957964
2006,1,11,3,474.3491844
2006,1,11,4,480.306474
2006,1,11,5,524.2414848
2006,1,11,6,625.515408
2006,1,11,7,717.1087356
2006,1,11,8,718.598058
2006,1,11,9,748.384506
2006,1,11,10,777.4262928
2006,1,11,11,785.617566
2006,1,11,12,793.8088392
2006,1,11,13,796.0428228
2006,1,11,14,793.064178
2006,1,11,15,785.617566
2006,1,11,16,784.8729048
2006,1,11,17,779.6602764
2006,1,11,18,794.5535004
2006,1,11,19,839.9778336
2006,1,11,20,811.680708
2006,1,11,21,765.5117136
2006,1,11,22,705.1941564
2006,1,11,23,621.0474408
2006,1,11,24,542.1133536
2006,1,12,1,503.3909712
2006,1,12,2,493.7103756
2006,1,12,3,485.5191024
2006,1,12,4,508.6035996
2006,1,12,5,536.156064
2006,1,12,6,625.515408
2006,1,12,7,723.0660252
2006,1,12,8,730.5126372
2006,1,12,9,767.7456972
2006,1,12,10,716.0696574
2006,1,12,11,802.0001124
2006,1,12,12,802.0001124
2006,1,12,13,807.2127408
2006,1,12,14,802.7447736
2006,1,12,15,804.9787572
2006,1,12,16,799.7661288
2006,1,12,17,794.5535004
2006,1,12,18,805.7234184
2006,1,12,19,857.8497024
2006,1,12,20,819.8719812
2006,1,12,21,775.9369704
2006,1,12,22,702.2155116
2006,1,12,23,619.5581184
2006,1,12,24,546.5813208
2006,1,13,1,502.64631
2006,1,13,2,478.8171516
2006,1,13,3,469.136556
2006,1,13,4,473.6045232
2006,1,13,5,522.7521624
2006,1,13,6,616.5794736
2006,1,13,7,716.3640744
2006,1,13,8,728.2786536
2006,1,13,9,772.2136644
